User Stories English,Accecptance Criteria
"As a training manager I want that when importing from Contao for a public training for all registrations from businesses, it is checked if the email address contains the last name of the registrant.If this is not the case, the registration will get a warning,so that I can manually intervene and correct the registration by hand.Assumed solution: Via previous merge conflict functionality.----","Acceptance Criterion:In the following example, such a warning should appear:Billing Data:Event ID: KMP-01740-YW6YZ6Event Name: Professional Scrum Product OwnerEvent-Type: TrainingStart: 10.01.2019End: 11.01.2019Salutation: Mr.First Name: KlausName: Fischer{color:red}{color:#d04437}Email: petra.mueller@l-bank.de{color}{color}Position:Phone:Base price: 1400 (EUR)Price: 1300 (EUR)Early booking discount: yespromo code:Remark:Order number:Contact-Person-Name: Klaus FischerContact-Person-EMail: klaus.fischer@l-bank.deCompany/Private person: companyCompany name: L-Bank KarlsruheMrs. Petra M�llerStreet: SchlossplatzHouse number: 12POSTCODE: 76131City: KarlsruheCountry: GermanyNote: This error occurs mainly when a company delegates the registration for a course to a third person, e.g. the assistant Ms. Petra M�ller as in the above (fictitious) example."
"As a training manager I want that when importing from Contao for a public training for all registrations from businesses, it is checkedif the email address is not already taken.If this is the case, a replacement email address vorname.nachname@falsche-e-Mail-Adresse.com is created and the registration is provided with a warning,so that I can manually intervene and correct the registration.","Acceptance criterion:In the following example such a warning should appear:Billing data:Login Klaus Fischer:Event ID: KMP-01740-YW6YZ6Event Name: Professional Scrum Product OwnerEvent-Type: TrainingStart: 10.01.2019End: 11.01.2019Salutation: Mr.First Name: KlausName: Fischer{color:#d04437}Email: petra.mueller@l-bank.de{color}Position:Phone:Base price: 1400 (EUR)Price: 1300 (EUR)Early booking discount: yespromo code:Remark:Order number:Contact-Person-Name: Klaus FischerContact-Person-EMail: klaus.fischer@l-bank.deCompany/Private person: companyCompany name: L-Bank Karlsruhez. Attention: Mrs. Petra M�llerStreet: SchlossplatzHouse number: 12POSTCODE: 76131City: KarlsruheCountry: GermanyRegistration Pierre Litbarski:Event ID: KMP-01740-YW6YZ6Event Name: Professional Scrum Product OwnerEvent-Type: TrainingStart: 10.01.2019End: 11.01.2019Salutation: Mr.First Name: PierreName: Litbarski{color:#d04437}Email: petra.mueller@l-bank.de{color}Position:Phone:Base price: 1400 (EUR)Price: 1300 (EUR)Early booking discount: yespromo code:Remark:Order number:Contact-Person-Name: Pierre LitbarskiContact-Person-EMail: pierre.litbarski@l-bank.deCompany/Private individual: companyCompany name: L-Bank KarlsruheMrs. Petra M�llerStreet: SchlossplatzHouse number: 12POSTCODE: 76131City: KarlsruheCountry: GermanyReaction from CoMET:Pierre Litbarski is assigned the email address: pierre.litbarski@falsche-e-Mail-Adresse.com and a warning asking the Training Manager to manually fix this error is shown.Note: This error occurs mainly when a company delegates the registration for a training to a third person, e.g. the assistant Ms. Petra M�ller as in the above (fictitious) example."
"As a data protection officer I want to be able to provide the contact with a GDPR Incident for immediate ""global opt-out"" in the DPO Cockpit in the view Contact Details using a button ""Remove from all distribution lists"",so that the contact is immediately removed (""deleted"") from all distribution listsand can be deleted normally by the GDPR engine after expiration of all deadlines according to the incident history.\\","Acceptance Criterion:* If you open the contact details of the contact, you will see that the contact is no longer listed on any distribution lists."
"As a Sales Manager for my location I want to see the complete incoming orders including trainings in the sales funnel report for my location,so that I can see at a glance how high the total incoming orders were.","Acceptance criteria:The sum of all Sales Funnel Reports for all locations results in the same values as the Sales Funnel Report ""all locations"".Notice:The Sales Funnel Report for Training is a separate view that allows us in Sales to say: what is the order entry across all locations in Sales?"
"As a Training Manager I want to be able to change all course data in the course overview in the Training Cockpit after a course has been created,so that changes to the course, such as rescheduling, a different trainer, or a course title, can be made easily afterwards.\\Note:* The course type (public or private) should not be able to be changed afterwards, since the effort required to maintain data consistency is probably out of proportion to the benefit. In such a case, it must be possible to delete the course and create it again.\\",Acceptance criteria:* Creating a course.* Changing a course specification such as the course location from Karlsruhe to Stuttgart.* Saving the course.* The course location is now Stuttgart.* The same process for the following fields:** Title** Trainer** Location** Date** Training Code\\* The following fields must not be explicitly changed:** Course type** Status
"As a Training Manager I want to be able to create a new company directly in CoMET in the Training Cockpit in the view Registrations for a selected course,   when registering using the function Register Contact in the view Add Registrations,so that the workflow is not interrupted.\\","Acceptance Criteria:* The created company in CoMET will appear in the Companies in CoMET list. (can only be displayed after COMET-745).* The created company in CoMET appears in the DropDownListBox for selecting a company. All companies in Navision as well as all companies in CoMET appear in this list.\\Notice:* One of the biggest sources of error is interrupting the workflow while editing a course.* Therefore, companies should also be able to be created in CoMET, at least temporarily, so that the workflow is not interrupted.* The list of companies created in CoMET can then be processed and the corresponding companies can be newly created in NAVISION or assigned to an existing company."
"As a Training Manager I want to be able to explicitly select the discounts granted to this contact (e.g. in the form of checkboxes) when registering a contact,so that the price is calculated comprehensibly from the basic price and it is clear at a glance - even in retrospect,which discounts were granted to this contact for this course,to avoid incorrect entries in the price and to ensure transparency about the composition of the participation price.Hint:* Navigation: TC: in the view Registrations, via the function Register contact in the view Add registrations.","Acceptance criterion:* When importing, the discounts from Contao are automatically imported.* First the percentage discount and then the early bird discount is calculatedEx:Base price 1.400 �Customer discount: 1.260 �Early booking discount: 1.160 �"
"As a training manager,I want to get an error message during the Contao import if the corresponding course is not found,so that I immediately know that the course in question does not exist in Contaoand I do not wrongly assume that there are only no registrations for this course yet.\\","Acceptance criterion:* A test training exists in Contao with registrations.* The import of the registrations is successful.* We change the Contao ID of the test training in Contao.* The import is not successful, but describes the problem with a self-explanatory error message."
As a marketing employee I want to have a search mask displayed in the Marketing Cockpit under Contacts and be able to enter a search termso that I am able to list contact details.,Acceptance criteria* Search terms are found analogous to DPO Cockpit* Contacts found are displayed analogous to the DPO Cockpit. The column with the emails is moved in front of the company name.
"As an employee of the marketing department, I want to be able to create a new contact based on an old contact when clicking on the button ""Change e-mail address"" in the Marketing Cockpit under Contact Details so that I can change his e-mail address without deleting him from all registered distribution lists.\\","Acceptance criteria:* so that I can keep the history of the contact, the old contact should continue to exist in CoMET.* The new contact inherits all contact details except for the email address.* The new contact is registered on all distribution lists on which the previous contact was registered.* The new contact is linked to the old contact via an alias entry.* The old contact remains in existence as long as its ""successor contact"", which was created from it, remains in existence. This means: The storage period of the old contact is identical to the possibly constantly changing storage period of the new contact, i.e. both contacts linked to each other have the same storage period."
As a Training Cockpit employee I want to be able to export changes to invoices to Navisionso that I have current user and invoice data there.,Acceptance criterion:* Workflow is documented* steps are feasibleRequest for this (invoice change or new creation and deletion) sent to �
"As a finance employee I want to see the location of the coursewhen booking an invoice,so that I am able to distinguish at which location the course took place.","Acceptance criterion:* The location is stored in the invoices as a course code.* The location code corresponds to the location in capital letters (e.g. M�NCHEN, special characters are not converted to UE).* The field only needs to be set in the ""rows"" section, it remains empty in the ""Invoicing"" section.Notes:* It needs to be tested what happens when creating an invoice with invalid location code.* It needs to be tested what happens when creating an invoice with an empty location code."
"As a training employee I want to be able to enter an external document number as a booking number that appears on the invoice after creating/editing a participant, so that I enable the customer to match the invoice to the course.",Acceptance criterion:* The number is included on the invoice when it is exported to Navision.* The field is optionalNote:* Check with training staff as needed. Finance does not need the field.
"As a course employee I want to be able to enter an external document number that appears on the invoice when creating/editing a private course,so that I enable the customer to match the invoice to the course.",Acceptance criterion:* The number is copied to the invoice when it is exported to Navision.* The field is optionalNote:* Check with training staff as needed. Finance does not need the field.
"As a marketing employee I want to be able to take over the master data maintenance for new mailing lists like OF_KLN myself,so that I can create, change or delete a mailing list without the help of an administrator.\\","Acceptance criteria:* In SDC you will no longer find a mailing list entry in the second level menu.* In the MC you will find an entry Mailinglist in the Second Level Menue.* In the MC, the functionality that was previously in the SCD is available 1:1 under Mailing List.*"
"As a marketing person I want the SDC to be accessible only to administrators and I as a marketing employee do not have to use the SDC,so that the non-technical master data maintenance takes place exclusively in the SDC and I, as a marketing employee, can carry out my technical tasks independently without the help of third parties.\\","Acceptance Criteria:* The SDC is now only accessible to the Administrator role.* As a marketing employee, I do not need the SDC for any of my tasks such as:** Create, modify or delete contact.** Create, change or delete mailing list** Create, change, or close an event** Create, modify or complete training** Export mailing lists** Import registrations from Contao** Import registration or participant lists from Excel** Export registration or participant list* As a marketing employee, I do not have access to the SDC."
"As a marketing employee I want to have an additional column ""number of contacts"" in the MC under distribution list in the Distribution List Overview viewso that I am able to estimate and compare the extent of the various distribution lists and thus their reach or effectiveness at a glance.\\","Acceptance criteria:* The information in the column ""Number of contacts"" corresponds to the value that is displayed when searching for a contact in a distribution list in the ... view, e.g."
"As an Event Manager I want that � as already handled elsewhere in CoMET � also for the event type Developer's Day (ET),� in addition to the already existing and functioning, but complex Conftool original format � when importing the participants (source: Conftool) the structure of the Excel table can correspond 1:1 to the structure of the displayed table in CoMET (here: participant overview at the developer day), i.e.* salutation* title* surname* first name* email* Companyso that it's easy for me to know which import format (Excel column structure) CoMET expects for each import.\\Notes:* I, as an Event Manager, am aware that this means that ...** I cannot simply use the Conftool participant export file 1:1 for the import into CoMET,** I have to edit the Conftool participant export file manually, so that it corresponds to the above structure.* so that I am able to clearly recognize the format, the column headings in the Excel file must correspond exactly to the above list, i.e. the first column has the heading ""Salutation"", the second ""Title"" and so on.\\","Acceptance Criteria:* After pressing the button ""import from Conftool"", all participants listed in the Excel sheet (whose structure corresponds 1:1 to the above structure) are listed in the view Participants of the event Entwicklertag Karlsruhe 2019.* Empty table entries in the Excel sheet do not lead to null pointer exceptions (up to now, a blank "" "" had to be inserted manually into the relevant fields in Excel when the organization was missing, as the Conftool provides for this), i.e. CoMET can also deal with fields in Excel where the following applies: ISNULL"
"As an employee of the marketing I want to have the same second level menu in MC under contacts as in DPOC under contacts,so that the same functionalities, especially the history, are accessible to me,so that I can see what we as marketing staff have done with a particular contact so far and, if necessary, be able to provide information when these contacts call in.\\","Acceptance Criteria:* The structure of the Contacts Second Level Menu is 1:1 the same as the Contacts Second Level Menu in DSBC, i.e.:** Details** History"
"As a member of the marketing staff I want to be able to see exactly the same information in MC under Contacts in the History view as the data protection officer sees in DSBC under Contacts in the History view,so that I can see what we in marketing have done with this contact so far and be able to provide information on the phone.\\","Acceptance Criteria:* The view is 1:1 the same as the History view in DSBC under Contacts, but without the ""Create Access Report"" and ""Create Exchange Format"" buttons, as these may only be used by the DPO."
"As an operator of CoMET, I want only authorized people to have access to the production system.Only a few users should be created on production by default.Developers should be created as users on the demo system, but not on production.\\Annotation:* https://git.andrena.de:8081/comet/admin-cockpit/backend/blob/master/src/main/java/de/andrena/CoMET/AdminCockpit/core/datapopulator/DataPopulator.java\\","Acceptance Criterion:* If a user is deleted, they will no longer be in the database the next day.* If the above people are deleted, they are automatically added back."
"As a Training Manager I want to see a list of all companies created in the TC under Companies in the view ""in CoMET"" as a list,so that I can see my need for action for the creation of new debtors in NAVISiON.\\","Acceptance Criteria:* Once a new company has been created as a debtor in CoMET by manually creating a Trainings enrollment, this new company will appear�** in the list of companies in CoMET** in the DropDownListBox to select a company\\Notes:# The structure of the list corresponds 1:1 to the structure of the list in COMET-744.# Also the sortability and scrollability of the list corresponds 1:1 to the functionality of the list in COMET-744# For the overall concept of this approach, see the appendix: [^CoMET - TC - Enterprise.pdf]"
"As a *CoMET administrator* I want to have all logs aggregated in one place so that I can quickly identify potential errors in the system.\\Advantages:- Tracking of user interactions and evaluation (feature usage index).- Easier error analysis- Targeted analysis of correlations- Build-up of know-how regarding ELK stack- Enabler for monitoring the application landscape\\Discussion August 18, 2020:First we establish logging including evaluation. Then monitoring of the applications. Notifications about the monitoring can only follow then.Keywords: ELK-Stack (see presentation by � OOP - https://mail.andrena.de/wiki/pub/Andrena/NaviProtokoll21_01_2020/folien_loggen.pdf)\\What to do?- Specify VM and get it from � (/)- Set up ELK stack (as Docker stack) (/)- configure services to deliver data there (/)-- separable by environment using flags: test, demo, prod, build (/)- MetricBeats delivers log data (/)- FileBeats delivers log data (/)- Configure meaningful dashboard / evaluation in Kibana (?)\\",Acceptance criteria- FileBeats provide data from TestVM and ElkVM- Include configuration in automated scripts- display meaningful default dashboards in Kibana- Appropriate log rotation based on memory usage- prevent logging of personal data- optional: set up email notification / useful ?
"As a Training Manager I want the concept to redesign the registration of a training participant presented in the review of Sprint #36 to be implemented,so that the usability and intuitive operation is significantly improved over the current version.\\","Acceptance Criteria:* In the TC, the registered contact appears in the Registrations view of the course.* In the TC, the number display behind the second level menu is increased by one.* In the DSBC, there is an entry for the registered contact under Courses stating that this contact is registered for this course.* If a new company had to be created as a customer as a result of the registration, then this company is** displayed in the DropDownListBox for selecting companies in the Logon view of a contact.** displayed in the list of companies in CoMET.* If a new private customer had to be created as a customer due to the registration, this private customer will be displayed in the list Private Customers in CoMET in the TC."
"As a Training Manager I want to be able to select a company with a mouse click in the TC under Companies in the view ""in CoMET"" and thus get to the detailed view,so that I can assign the company created in CoMET to an existing company in NAVISON in this detailed view or - if the company is not yet created in NAVISION - create the company in NAVISION.\\Hints:The structure of the detailed view should be as follows:* Button ""Take over assignment"" on the top right (as implemented uniformly in CoMET).* Details of the selected company in CoMET with the following non-editable fields:** Customer no.** Name** Street** Postcode** City** Country* Detailed information about the selected company in NAVISION with exactly the same, also non-editable fields, which are also arranged exactly below the fields mentioned above, so that a 1:1 comparison is possible.* A search list with a cross-column search field for researching the companies in NAVISION, which has exactly the same structure and sortability as the list in COMET-744.\\The operation is then in the form that ...* in the search list an existing debtor in NAVISION is searched for and selected with the help of the search field.* thereby the fields of the detail data of the selected company are filled in NAVSION* so that a field-to-field comparison between the selected company in CoMET and the selected company in NAVISION is possible* and with the button ""Complete Assignment"" the temporary customer in CoMET will be deleted and replaced by the customer from NAVISION.\\","Acceptance criterion:* see procedure and content of the screenshots in the attachment: [^CoMET - TC - Company.pdf]* Basically:** Once an assignment has been completed, the company (updated if necessary) should show up in the list ""in NAVISION"" and disappear from the list ""in CoMET"".** As soon as a new assignment of a company has been completed, the new company should show up in the list ""in NAVISION"".\\For the overall concept see attachment: [^CoMET - TC - Company.pdf]."
see slide 3 in the PDF file attached to this User Story\\,"Acceptance Criterion:* see slide 4 in the PDF file attached to this User Story - when clicking on a private customer in the list, you will land in the view according to slide 5 (assignment view private customers with box CoMET filled in).\\Original User Story:\\As a Training ManagerI want to see a list of all temporary private customers in the TC under Private Customers in the view ""in CoMET"",that have been created in TC, as a list,so that I can see my action required for the creation of new debtors in NAVISiON.\\Acceptance Criteria:* Once new private customers are created as debtors in CoMET by importing training registrations from Contao, these new private customers appear�** in the list of private customers in CoMET** in the search (duplicate check) when accessing the manual creation of a registration.* As soon as a new private customer has been created as a customer in CoMET by manually creating a training registration, this new private customer appears�** in the list of private customers in CoMET** in the search (duplicate check) when accessing the manual creation of a registration.\\Notes:# The structure of the list corresponds 1:1 to the structure of the list in COMET-783.# Also the sortability and scrollability of the list corresponds 1:1 to the functionality of the list in COMET-783# As soon as a private customer listed in this list has been created as a debtor in NAVISION, i.e. has a valid debtor number in NAVISION, this private customer should no longer be displayed in the list ""in CoMET"" and instead appear in the list ""in NAVISION"".# To the total idea of this approach see appendix: [^CoMET - TC - Private Customers.pdf]"
"Clicking on a private customer (see slide 4 for the example of the private customer Joachim Meyer) opens the assignment view Private customers, as shown on slide 5.\\Slide 5: The box CoMET is filled with the data of the clicked private customer (here: Dr. Joachim Meyer), while the box NAVISION and the search fields are still empty.\\Original User Story:\\As a Training ManagerI want to be able to select a private client in the TC under Private Clients in the view ""in CoMET"" with a mouse click and thus get to the detailed view,so that I can assign the private customer created in CoMET to an existing private customer in NAVISON in this detailed view or - if the private customer has not yet been created in NAVISION - create the private customer in NAVISION via CoMET.\\Hints:The structure of the detail view should be as follows:* Button ""Copy assignment"" on the top right (as implemented uniformly in CoMET).* Details of the selected private customer in CoMET with the following non-editable fields:** Customer no.** title** Name** first name** email** street** Postcode** city** Country* Detailed information about the selected private customer in NAVISION with exactly the same fields, which can also not be edited, and which are also arranged exactly under the fields mentioned above, so that a 1:1 comparison is possible.* A search list with a cross-column search field for researching the companies in NAVISION, which has exactly the same structure and sortability as the list in COMET-783.\\The operation is then in the form that ...* a customer existing in NAVISION is searched for and selected in the search list with the help of the search field.* thereby the fields of the detail data of the selected company are filled in NAVSION* so that a field-to-field comparison between the selected company in CoMET and the selected company in NAVISION is possible* and with the button ""Assign"" the temporary customer in CoMET is deleted and replaced by the customer from NAVISION.\\","Acceptance criterion:* see procedure and content of the screenshots in the attachment: [^CoMET - TC - Private Customers.pdf]* Basically:** As soon as an assignment has been completed, the private customer (updated if necessary) should appear in the list ""in NAVISION"" and disappear from the list ""in CoMET"".** As soon as a new assignment of a private customer has been completed, the new private customer should show up in the list ""in NAVISION"".\\For the overall concept see attachment: [^CoMET - TC - Private Customers.pdf]"
"As a CoMET Administrator I want to be able to scroll down the list of users in the Admin Cockpit in the view Userswithout the editing area moving up with it,so that I keep the editing of more than 20 usersstill practicable and intuitively understandable.\\","Acceptance criteria:* When clicking the last entry in the list, the detail view appears directly on the right without the user having to scroll.\\Optional:* Change the view also for the roles and rights view."
"As a Training Manager I want to have in the TC under customers next to the views* in CoMET* in Navision\\also a view* warnings\\so that I can list all debtors in CoMET as well as in NAVISION, where e.g. the address is missing, with a corresponding warningand to be able to get specifically to a detail view which allows me to understand the problem and to be able to report it verbally to financial accounting.\\Note: Possible warnings can be:* Name missing* Street is missing* Postcode is missing* City is missing* country is missing* the customer is a ""data corpse"", i.e. it no longer has an assignment to a contact who is registered for a course or listed as a participant (see also COMET-1178)\\","Acceptance criterion:* As soon as all discrepancies are resolved, the warning should disappear and thus the company should no longer appear in the list."
"As a Training Manager I want that in the TC when registering a contact for a training coursethis registration is fully implemented with visible effects in the TC and DSBC,so that the workflow is fully implemented.\\","Acceptance criteria:* In the TC, the enrolled contact appears in the Enrollments view of the course, see COMET-837.* In the TC, the number of registrations displayed after the second level menu is increased by one, see COMET-835.* In the DSBC, the registered contact is indicated as registered for the course under Courses, see COMET-836."
"As a NAVISION Owner I want private customers to be created as debtors in the TC with the following mandatory fields,so that the creation of the private customer from CoMET in NAVISION really fills all necessary fields:* Name* first name* email* street and house number* Postcode* city* country* type of debtor (must always be set to event customer)\\","Acceptance criteria:* Private customer shows up in the search field when adding registration. (double check)\\Notice:* The ""Country"" field is now a required field after all so that I can calculate VAT correctly in Navision."
"As a Training Manager I want that in the TC when a contact is being registered for a course,whether by importing many registrations from Contao or manually registering a single contact,the number of registrations behind the second level menu entry is updated immediately,so that the number display is immediately up to dateand I have a direct feedback that the registration(s) was (were) successful.\\","Acceptance Criteria:* In the TC, after a successful login - either manually or via the import function from Contao - the number display behind the second level menu is updated to show the current number of registrations."
"As a data protection officerI want that when registering a contact for a course in the TC using the function Courses, Registrations, Register Contactsa corresponding training registration entry is added to this contact in the DSBC under Contacts in the Details view in the Training Registration Data section,so that the information about the use of personal data for this contact is complete.\\","Acceptance Criteria:* In the DSBC, for the enrolled contact, in the Details view, in the Training Enrollment Data section, there is an entry that this contact is enrolled in this Training.* The retention period for this contact has increased to 10 years if it was previously less than 10 years.* In the contact's history, a corresponding GDPR incident ""Training participation - storage period extended by 10 years"" appears."
"As a Training Manager I want the TC to include the registration of a contact for a course in the list of registrations when registering a contact manually for a training,so that the list is immediately up to dateand I have a direct feedback that the registration(s) was (were) successful.\\","Acceptance Criteria:* In the TC, after a successfully performed manual login, the list of logins is updated so that the new login(s) is visible."
"As a Training Manager I want to be able to see all imported contacts in the list of registrations in the TC under Courses in the view Registrationswhen using the ""Import from Contao"" function,so that the list is immediately up to date.and I have a direct feedback that the registrations were successful.\\","Acceptance Criteria:* Case 1: For each registration as *private person* to a paid training imported from Contao:** The contact is created as a private customer in CoMET.* Case 2: For each registration to a paid training as an employee of a *company* applies:** The company is created in CoMET and appears in the list of companies in CoMET.** The contact is created as a normal contact in CoMET and assigned to the company.* Case 3: For each registration as *andrena employee* applies:** The contact will be created in CoMET - if the given email address is not yet assigned to another contact in CoMET - and treated as a normal event contact.* For all cases mentioned above: In the TC, after successfully importing the registrations from Contao�** the list of registrations is updated so that the new registrations are visible."
"As a Training Manager I want the number of registrations behind the second level menu entry Registrations to be updated immediately after the successful import in the TC under Courses in the view Registrations for a selected course when using the ""Import from Contao"" function,so that the number of registrations is immediately updated.and I have a direct feedback that the registrations were successful.\\","Acceptance Criteria:* Case 1: For each registration as *private person* to a paid training imported from Contao:** The contact is created as a private customer in CoMET.* Case 2: For each registration to a paid training as an employee of a *company*:** The company is created in CoMET and appears in the list of companies in CoMET.** The contact is created as a normal contact in CoMET and assigned to the company.* Case 3: For each registration as *andrena employee* applies:** The contact will be created in CoMET - if the given email address is not yet assigned to another contact in CoMET - and treated as a normal event contact.* The following applies to all cases mentioned: In the TC, after successfully importing the registrations from Contao: ** The number display is increased by the number of imported registrations."
